titulo,empresa,categoria,tipo,salario,localizacao,link
Head of Engineering,Lemon.io,Software Development,full-time,unspecified,"USA timezones, European timezones",https://remotive.com/remote-jobs/software-development/head-of-engineering-2089995
Senior Independent AI Engineer / Architect,A.Team,Software Development,contract,$120 - $170 /hour,"Americas, Europe, Israel",https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266
Senior Independent Software Developer,A.Team,Software Development,contract,$90 - $150 /hour,"Americas, Europe, Israel",https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265
Senior Full-stack React Developer,Lemon.io,Software Development,contract,unspecified,"Americas, Europe, Asia, Oceania",https://remotive.com/remote-jobs/software-development/senior-full-stack-react-developer-2088711
Tech Lead Full-Stack Rails Engineer,Mitre Media,Software Development,full-time,$170k - $200k,"USA, Canada, USA timezones",https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746
Senior Frontend Developer,Sanctuary Computer,Software Development,contract,$80k - $120k,"Latin America (LATAM), Asia",https://remotive.com/remote-jobs/software-development/senior-frontend-developer-2088707
"🇩🇪 Senior/Staff Software Engineer PHP, TS, Rust, Kotlin (m/w/d)",easybill GmbH,Software Development,full-time,unspecified,Germany,https://remotive.com/remote-jobs/software-development/senior-staff-software-engineer-php-ts-rust-kotlin-m-w-d-2088708
iOS Developer,nooro,Software Development,full-time,$60k-$130k (depending on experience),USA,https://remotive.com/remote-jobs/software-development/ios-developer-1956455
Fullstack Developer (US - ET),Chooose,Software Development,full-time,unspecified,USA,https://remotive.com/remote-jobs/software-development/fullstack-developer-us-et-2088706
Ruby On Rails Backend Engineer,Axented,Software Development,full-time,"55,000 - 70,000 mxn per month",Mexico,https://jobs.gohire.io/axented-su9lyitg/ruby-on-rails-backend-engineer-267779?utm_source=remotive.com&ref=remotive.com
Junior/Mid Full Stack Engineer,CORPOSOSTENIBILE,Software Development,full-time,unspecified,Europe,https://corposostenibile.factorial.it/apply/junior-mid-full-stack-engineer-react-python-in-partita-iva-full-remote-297583?utm_source=remotive.io
Principal Cloud Engineer,COMAGINE HEALTH,Software Development,full-time,"usd 125,000 - 160,000 per year",USA,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=fb904576-33e2-4c0d-96b1-71006998685c&jobId=589166
Python/Cloud Platform Developer,Encora,Software Development,full-time,unspecified,Brazil,https://careers.encora.com/application?5045172007&gh_jid=5045172007
